date,spy_close,spy_adj_close,spy_ret3,sma200,vix,vix_ret3,vix3m,fwd_2s,fwd_3s,fwd_5s,fwd_10s,fwd_15s
2021-01-29,370.07,343.6255,-0.0357,308.48,33.09,0.4374,33.88,0.031,0.0318,0.0477,0.061,0.0458
2021-02-22,387.03,359.3735,-0.0137,315.99,23.45,0.0907,27.81,0.0122,-0.0121,0.0066,-0.0137,0.0242
2021-02-25,382.33,355.0093,-0.0121,317.39,28.89,0.232,30.24,0.019,0.011,-0.0147,0.0293,0.0239
2021-02-26,380.36,353.1801,-0.0184,317.84,27.95,0.2094,29.6,0.0162,0.0028,0.0086,0.036,0.0273
2021-03-04,376.7,349.7817,-0.0331,319.7,28.57,0.2236,30.08,0.0133,0.0278,0.0447,0.0392,0.0379
2021-03-18,391.48,363.5056,-0.0124,324.09,21.58,0.0774,25.28,0.0061,-0.0018,-0.0013,0.0267,0.0546
2021-03-19,389.48,362.833,-0.013,324.47,20.95,0.0586,24.99,0.0001,-0.005,0.0167,0.0433,0.0569
2021-05-04,415.62,387.1845,-0.0106,338.8,19.48,0.1062,22.67,0.0083,0.0156,-0.0034,-0.0089,0.0063
2021-05-11,414.21,385.871,-0.0116,341.07,21.84,0.1876,24.23,-0.0095,0.0057,-0.0055,0.0097,0.0148
2021-05-12,405.41,377.6731,-0.0396,341.47,27.59,0.6531,28.18,0.0276,0.0249,0.0134,0.0337,0.033
2021-05-13,410.28,382.2098,-0.0183,341.9,23.13,0.1765,25.26,0.0128,0.004,0.0122,0.022,0.03
2021-05-19,410.86,382.7501,-0.0137,343.6,22.18,0.1792,25.27,0.0099,0.0202,0.02,0.0193,0.031
2021-06-18,414.92,387.797,-0.0193,351.88,20.7,0.2162,22.93,0.0197,0.0185,0.0282,0.0453,0.0534
2021-07-19,424.97,397.19,-0.0258,361.14,22.5,0.3778,24.9,0.0225,0.0247,0.0378,0.0297,0.0404
2021-08-18,439.18,410.4712,-0.0151,371.74,21.57,0.3961,23.8,0.0095,0.0184,0.0222,0.0287,0.0223
2021-08-19,439.86,411.1067,-0.0159,372.27,21.67,0.3443,24.2,0.0168,0.0184,0.0145,0.0303,0.0127
2021-09-10,445.44,416.3219,-0.0133,379.25,20.95,0.1549,23.31,-0.0029,0.0055,-0.0059,-0.0002,-0.022
2021-09-20,434.04,406.9668,-0.0278,381.6,25.71,0.4142,26.4,0.0088,0.0211,0.0198,-0.0124,0.0015
2021-09-21,433.63,406.5823,-0.0272,381.94,24.36,0.3034,25.47,0.022,0.0237,0.0002,-0.0012,0
2021-09-28,433.72,406.6667,-0.0213,383.74,23.25,0.248,24.03,-0.0106,0.0012,-0.0014,-0.0002,0.039
2021-09-29,434.45,407.3512,-0.0213,384.08,22.56,0.271,23.72,-0.0005,-0.0134,0.001,0.0017,0.0413
2021-09-30,429.14,402.3724,-0.0305,384.41,23.14,0.2335,23.87,-0.0012,0.0092,0.0222,0.0311,0.057
2021-11-10,463.62,434.7017,-0.0105,395.15,18.73,0.1365,22,0.0079,0.0082,0.0097,0.0126,-0.0134
2021-11-26,458.97,430.3418,-0.0184,399.64,28.62,0.493,29.17,-0.0074,-0.0185,-0.0121,0.0256,0.0055
2021-11-30,455.56,427.1444,-0.0296,400.31,27.19,0.4634,28.13,0.004,-0.0047,0.0279,0.0171,0.02
2021-12-02,457.4,428.8697,-0.0155,400.93,27.95,0.2173,29.15,0.003,0.0238,0.0196,0.0198,0.0325
2021-12-20,454.98,428.0994,-0.0298,405.61,22.87,0.1856,26.31,0.0279,0.0343,0.0481,0.0496,0.0325
2022-01-05,468.38,440.7077,-0.0139,410.05,19.73,0.1458,23.47,-0.0049,-0.0061,0.0056,-0.0462,-0.0793
2022-01-06,467.94,440.2937,-0.0205,410.44,19.61,0.1813,23.5,-0.0052,0.0039,-0.0073,-0.064,-0.0555
2022-01-07,466.09,438.5529,-0.024,410.82,18.76,0.1094,22.87,0.0079,0.0106,-0.0029,-0.0563,-0.0347
2022-01-18,456.49,429.5202,-0.0308,412.83,22.79,0.2934,25.12,-0.0213,-0.0405,-0.0482,-0.0078,-0.0122
2022-01-19,451.75,425.0602,-0.0275,413.06,23.85,0.1743,25.81,-0.0305,-0.0264,-0.0407,0.0124,0.0128
2022-01-20,446.75,420.3556,-0.0387,413.27,25.59,0.3335,27.25,-0.0155,-0.0275,-0.0347,-0.0003,0.0058
2022-01-24,439.84,413.8538,-0.0264,413.58,29.9,0.2537,30.82,-0.0147,-0.0196,0.0229,0.0169,-0.0019
2022-04-06,446.52,421.4444,-0.0141,420.22,22.1,0.1258,25.8,0.0024,-0.0148,-0.0072,-0.0189,-0.0419
2022-04-07,448.77,423.5681,-0.0176,420.36,21.55,0.1605,25.23,-0.0197,-0.0234,-0.0245,-0.0506,-0.0819
2023-02-10,408.04,390.1613,-0.0172,373.88,20.53,0.1002,22.55,0.0113,0.0146,-0.0019,-0.0253,-0.0087
2023-02-17,407.26,389.4155,-0.013,373.85,20.02,0.0587,21.77,-0.0214,-0.0162,-0.0234,-0.0069,-0.0538
2023-02-21,399.09,381.6034,-0.036,373.73,22.87,0.2545,23.38,0.0039,-0.0068,-0.0071,-0.0021,-0.0184
2023-02-22,398.54,381.0775,-0.0239,373.68,22.29,0.1051,22.68,-0.0054,-0.002,-0.0095,0.001,-0.0232
2023-02-23,400.66,383.1047,-0.0162,373.66,21.14,0.0559,21.74,-0.0073,-0.011,-0.0071,-0.0227,-0.0114
2023-03-09,391.56,374.4034,-0.0319,373.98,22.61,0.2149,22.87,-0.0158,0.0004,0.0116,0.0079,0.0349
2023-04-25,406.08,389.7691,-0.0141,376.64,18.76,0.0926,21.65,0.0156,0.0243,0.0117,0.0119,0.0103
2023-04-26,404.36,388.1182,-0.019,376.76,18.84,0.1234,21.54,0.0286,0.0276,0.0091,0.021,0.0269
2023-05-03,408.02,391.6311,-0.019,377.63,18.34,0.1622,21.29,0.0113,0.0116,0.0118,0.0177,0.0075
2023-05-04,405.13,388.8572,-0.025,377.72,20.09,0.2494,22.77,0.0188,0.0143,0.0173,0.0348,0.0235
2023-05-23,414.09,397.4573,-0.0123,378.64,18.53,0.1545,21.06,0.0014,0.0143,0.0091,0.0301,0.0558
2023-05-24,411.09,394.5778,-0.018,378.66,20.03,0.1916,22.02,0.0217,0.0221,0.0261,0.0439,0.0766
2023-07-07,438.55,422.4984,-0.0118,382.93,14.83,0.0929,17.24,0.0089,0.017,0.0245,0.0311,0.0419
2023-08-02,450.13,433.6546,-0.0149,390.59,16.09,0.2071,17.96,-0.0074,0.0013,-0.0097,-0.0233,-0.0158
2023-08-03,448.84,432.4119,-0.0196,391.05,15.92,0.168,17.72,0.0042,-0.0002,-0.0065,-0.028,-0.0266
2023-08-04,446.81,430.4561,-0.0212,391.46,17.1,0.2276,18.61,0.0043,-0.0024,-0.0026,-0.0231,-0.0153
2023-08-16,439.64,423.5486,-0.0135,394.34,16.78,0.1307,18.97,-0.0071,-0.0007,0.0077,0.0259,0.0119
2023-08-17,436.29,420.3212,-0.0264,394.59,17.89,0.2072,19.83,0.007,0.0043,0.0014,0.0322,0.0212
2023-08-18,436.5,420.5235,-0.0144,394.85,17.3,0.051,19.24,0.0038,0.015,0.0079,0.0337,0.0274
