date,open,high,low,close,adj_close,volume
2023-06-15,436.3300,443.9000,436.2300,442.6000,424.8221,110303100
2023-06-16,443.0200,443.6100,438.9700,439.4600,423.3751,114165800
2023-06-20,437.4500,438.3700,435.0300,437.1800,421.1786,76160400
2023-06-21,436.1600,436.9900,434.3300,434.9400,419.0205,76982300
2023-06-22,433.9500,436.6200,433.6000,436.5100,420.5331,70637200
2023-06-23,432.9300,435.0600,432.4700,433.2100,417.3539,92074500
2023-06-26,432.6200,434.6100,431.1900,431.4400,415.6487,72823600
2023-06-27,432.3500,436.8100,431.8800,436.1700,420.2056,72813700
2023-06-28,435.0500,437.4400,434.4100,436.3900,420.4175,75636000
2023-06-29,435.9600,438.2800,435.5400,438.1100,422.0745,67882300
2023-06-30,441.4400,444.3000,441.1100,443.2800,427.0553,104964000
2023-07-03,442.9200,444.0800,442.6300,443.7900,427.5467,32793400
2023-07-05,441.9100,443.8900,441.9000,443.1300,426.9109,58418400
2023-07-06,439.4200,440.1000,437.0600,439.6600,423.5678,80658300
2023-07-07,438.6300,442.6400,438.3000,438.5500,422.4984,86134200
2023-07-10,438.1800,439.8400,437.5900,439.6600,423.5678,62443500
2023-07-11,440.4500,442.9700,439.4400,442.4600,426.2653,64463800
2023-07-12,446.3900,447.4800,444.9100,446.0200,429.6951,91924500
2023-07-13,447.9000,450.3800,447.4500,449.5600,433.1055,72425200
2023-07-14,450.4800,451.3600,448.4900,449.2800,432.8357,69815800
2023-07-17,449.1300,451.9300,449.0800,450.8400,434.3386,52680200
2023-07-18,450.5000,454.8600,450.0500,454.1900,437.5659,80668200
2023-07-19,455.0100,456.4300,454.1100,455.2000,438.5390,65891700
2023-07-20,454.1700,455.1000,451.4400,452.1800,435.6295,70591600
2023-07-21,453.9600,454.1700,452.1700,452.1800,435.6295,71275600
2023-07-24,453.3700,455.0400,452.3000,454.2000,437.5756,54023400
2023-07-25,453.9200,456.7400,453.8700,455.4400,438.7703,55191200
2023-07-26,454.4700,456.9900,453.3800,455.5100,438.8378,71052900
2023-07-27,459.0200,459.4400,451.5500,452.4900,435.9282,92194400
2023-07-28,455.8800,457.7800,452.4900,456.9200,440.1961,80011800
2023-07-31,457.4100,458.1600,456.0500,457.7900,441.0343,62040400
2023-08-01,456.2700,457.2500,455.4900,456.4800,439.7722,55291500
2023-08-02,453.2500,453.5200,449.3500,450.1300,433.6546,93933400
2023-08-03,448.0400,450.7900,447.3700,448.8400,432.4119,64276100
2023-08-04,450.7200,452.9000,446.2700,446.8100,430.4561,100128900
2023-08-07,448.7100,450.8700,447.9900,450.7100,434.2134,58357500
2023-08-08,448.0800,450.7000,445.2700,448.7500,432.3251,71361300
2023-08-09,449.0300,449.2000,444.9600,445.7500,429.4350,78789600
2023-08-10,448.1900,451.7000,444.7000,445.9100,429.5891,93005500
2023-08-11,443.9700,446.7000,443.3500,445.6500,429.3386,68690900
2023-08-14,444.7000,448.1100,444.3800,448.1100,431.7085,47867400
2023-08-15,446.2700,446.6400,442.3000,442.8900,426.6796,75707500
2023-08-16,442.4600,444.1800,439.5300,439.6400,423.5486,80107200
2023-08-17,441.1600,441.4300,435.7500,436.2900,420.3212,95711300
2023-08-18,433.3700,437.5700,433.0100,436.5000,420.5235,98852000
2023-08-21,437.5500,440.1100,435.3200,439.3400,423.2596,68719000
2023-08-22,441.1800,441.1800,437.5700,438.1500,422.1131,64994200
2023-08-23,439.2500,443.6700,439.1000,443.0300,426.8145,68441000
2023-08-24,444.6900,445.2200,436.8600,436.8900,420.8992,88517300
2023-08-25,438.6800,441.3000,435.0000,439.9700,423.8665,102325100
2023-08-28,442.2400,443.4000,439.9700,442.7600,426.5544,61595400
2023-08-29,442.6500,449.4500,442.4600,449.1600,432.7201,83081900
2023-08-30,449.5100,451.6700,448.7800,451.0100,434.5023,69053900
2023-08-31,451.6500,452.8300,450.1600,450.3500,433.8666,66084600
2023-09-01,453.1700,453.6700,449.6800,451.1900,434.6758,58944100
2023-09-05,450.7300,451.0600,449.1700,449.2400,432.7971,55166200
2023-09-06,448.4000,448.5100,443.8100,446.2200,429.8878,70758500
2023-09-07,443.1100,445.5500,442.7500,444.8500,428.5679,70355400
2023-09-08,444.9000,447.1100,444.5300,445.5200,429.2134,61659700
2023-09-11,448.2400,448.7700,446.4700,448.4500,432.0361,60180100
2023-09-12,446.9500,448.5300,445.3900,445.9900,429.6662,67565400
2023-09-13,446.2200,447.7100,445.0800,446.5100,430.1671,60199300
2023-09-14,449.0700,451.0800,447.7200,450.3600,433.8762,83430800
2023-09-15,447.1400,447.4800,442.9200,443.3700,428.6487,111848900
2023-09-18,443.0500,444.9700,442.5600,443.6300,428.9001,55752200
2023-09-19,442.6800,443.2900,439.9400,442.7100,428.0107,66514600
2023-09-20,444.0100,444.4400,438.4300,438.6400,424.0757,82562600
2023-09-21,435.7000,435.9700,431.2300,431.3900,417.0665,104095800
2023-09-22,432.4500,434.1000,429.9900,430.4200,416.1287,100829700
2023-09-25,429.1700,432.2700,428.7200,432.2300,417.8786,70874500
2023-09-26,429.0900,429.8200,425.0200,425.8800,411.7394,96168400
2023-09-27,427.0900,427.6700,422.2900,426.0500,411.9038,104705800
2023-09-28,425.4800,430.2500,424.8700,428.5200,414.2918,92258300
2023-09-29,431.6700,431.8500,425.9100,427.4800,413.2863,115111300
